column1,column2,column3,column4,target
834.0,225.0,663.0,510.0,0
100.0,384.0,83.0,217.0,0
856.0,569.0,341.0,562.0,1
309.0,794.0,331.0,196.0,0
651.0,41.0,830.0,749.0,1
265.0,924.0,271.0,984.0,1
311.0,928.0,234.0,42.0,0
36.0,837.0,265.0,415.0,0
253.0,362.0,413.0,901.0,0
994.0,709.0,180.0,400.0,1
430.0,134.0,859.0,893.0,0
322.0,278.0,960.0,962.0,0
534.0,983.0,463.0,199.0,0
60.0,60.0,988.0,410.0,1
496.0,70.0,109.0,878.0,1
216.0,272.0,33.0,970.0,1
254.0,625.0,95.0,136.0,1
550.0,534.0,660.0,542.0,0
927.0,45.0,197.0,127.0,0
701.0,695.0,385.0,108.0,0
244.0,932.0,899.0,581.0,0
421.0,422.0,632.0,854.0,0
157.0,533.0,543.0,384.0,0
522.0,275.0,88.0,930.0,0
63.0,812.0,885.0,984.0,0
353.0,778.0,428.0,667.0,0
924.0,155.0,647.0,232.0,0
414.0,121.0,528.0,718.0,1
192.0,676.0,203.0,702.0,0
312.0,441.0,809.0,839.0,0
558.0,823.0,472.0,310.0,0
604.0,570.0,608.0,45.0,1
983.0,890.0,945.0,706.0,0
922.0,544.0,943.0,708.0,0
86.0,226.0,259.0,651.0,0
262.0,151.0,727.0,679.0,0
910.0,179.0,696.0,819.0,0
168.0,871.0,73.0,541.0,0
303.0,360.0,396.0,353.0,1
710.0,153.0,812.0,523.0,1
659.0,524.0,648.0,928.0,0
187.0,980.0,799.0,590.0,0
456.0,346.0,723.0,451.0,1
877.0,37.0,554.0,978.0,1
635.0,515.0,770.0,551.0,0
864.0,465.0,161.0,151.0,0
404.0,566.0,719.0,932.0,0
714.0,664.0,330.0,816.0,0
226.0,207.0,468.0,722.0,0
47.0,44.0,252.0,724.0,0
81.0,48.0,76.0,264.0,0
937.0,71.0,952.0,305.0,1
334.0,90.0,460.0,943.0,0
207.0,824.0,703.0,326.0,0
833.0,544.0,955.0,794.0,0
310.0,325.0,175.0,236.0,0
470.0,266.0,738.0,313.0,0
931.0,98.0,14.0,760.0,0
890.0,220.0,279.0,220.0,0
94.0,832.0,772.0,512.0,0
4.0,997.0,82.0,434.0,0
501.0,40.0,503.0,930.0,0
600.0,563.0,755.0,752.0,0
217.0,418.0,721.0,451.0,0
616.0,270.0,483.0,491.0,1
245.0,575.0,635.0,39.0,1
397.0,652.0,872.0,885.0,0
962.0,82.0,497.0,222.0,0
90.0,253.0,157.0,411.0,1
777.0,888.0,451.0,127.0,0
991.0,773.0,634.0,389.0,0
546.0,876.0,263.0,938.0,0
459.0,619.0,677.0,136.0,0
437.0,970.0,195.0,956.0,0
831.0,854.0,311.0,578.0,0
748.0,651.0,901.0,255.0,0
458.0,300.0,290.0,289.0,0
718.0,799.0,893.0,742.0,0
413.0,472.0,943.0,272.0,1
685.0,816.0,902.0,414.0,0
145.0,36.0,278.0,875.0,0
768.0,970.0,961.0,958.0,1
165.0,575.0,859.0,915.0,0
574.0,144.0,55.0,297.0,0
270.0,841.0,136.0,85.0,0
619.0,526.0,645.0,494.0,0
69.0,434.0,567.0,92.0,0
427.0,812.0,411.0,44.0,0
655.0,165.0,270.0,460.0,0
106.0,337.0,228.0,181.0,0
169.0,390.0,926.0,779.0,0
483.0,758.0,230.0,354.0,0
823.0,654.0,651.0,793.0,0
622.0,415.0,811.0,421.0,0
433.0,537.0,81.0,520.0,1
337.0,541.0,85.0,166.0,1
150.0,553.0,502.0,525.0,0
624.0,918.0,557.0,125.0,0
151.0,777.0,39.0,286.0,0
957.0,968.0,34.0,944.0,0
187.0,302.0,562.0,543.0,0
602.0,90.0,529.0,223.0,0
851.0,924.0,776.0,508.0,0
789.0,653.0,301.0,759.0,1
650.0,515.0,351.0,416.0,0
327.0,177.0,779.0,89.0,0
253.0,409.0,406.0,898.0,0
155.0,641.0,213.0,336.0,0
148.0,488.0,763.0,168.0,0
716.0,25.0,979.0,321.0,1
210.0,255.0,351.0,681.0,1
965.0,44.0,438.0,324.0,0
310.0,965.0,666.0,106.0,1
118.0,454.0,677.0,23.0,1
546.0,628.0,228.0,665.0,0
840.0,607.0,978.0,105.0,0
58.0,482.0,903.0,255.0,0
191.0,620.0,798.0,286.0,1
361.0,927.0,10.0,535.0,0
191.0,167.0,650.0,454.0,1
779.0,212.0,23.0,875.0,1
431.0,148.0,385.0,642.0,1
8.0,297.0,998.0,535.0,0
163.0,385.0,864.0,166.0,0
356.0,168.0,768.0,743.0,0
207.0,107.0,782.0,639.0,0
585.0,91.0,641.0,521.0,0
461.0,87.0,319.0,990.0,0
422.0,774.0,202.0,904.0,0
776.0,432.0,118.0,648.0,1
798.0,663.0,375.0,928.0,0
861.0,657.0,458.0,550.0,1
846.0,568.0,564.0,180.0,0
550.0,234.0,769.0,137.0,0
413.0,594.0,855.0,166.0,1
954.0,494.0,354.0,280.0,0
363.0,229.0,838.0,69.0,0
471.0,644.0,900.0,454.0,0
484.0,737.0,157.0,517.0,0
871.0,334.0,51.0,41.0,0
578.0,285.0,961.0,188.0,0
447.0,602.0,431.0,650.0,0
432.0,37.0,792.0,433.0,0
458.0,4.0,170.0,410.0,0
364.0,766.0,840.0,913.0,0
747.0,591.0,483.0,182.0,0
530.0,14.0,542.0,911.0,0
532.0,371.0,695.0,758.0,0
100.0,375.0,304.0,183.0,0
833.0,820.0,161.0,825.0,1
613.0,956.0,860.0,901.0,0
417.0,374.0,543.0,857.0,1
798.0,205.0,97.0,278.0,1
10.0,562.0,272.0,120.0,0
279.0,633.0,482.0,333.0,0
626.0,759.0,396.0,561.0,0
892.0,294.0,173.0,112.0,0
40.0,456.0,412.0,76.0,1
437.0,200.0,306.0,362.0,0
712.0,662.0,172.0,279.0,0
938.0,208.0,70.0,168.0,0
585.0,396.0,14.0,981.0,0
862.0,691.0,908.0,225.0,0
999.0,267.0,890.0,629.0,0
193.0,511.0,965.0,573.0,0
599.0,993.0,911.0,750.0,0
977.0,304.0,495.0,540.0,0
263.0,559.0,753.0,993.0,0
536.0,843.0,867.0,418.0,0
270.0,115.0,485.0,908.0,0
282.0,818.0,121.0,715.0,0
171.0,772.0,692.0,965.0,0
172.0,251.0,918.0,470.0,0
966.0,231.0,975.0,171.0,1
865.0,875.0,916.0,69.0,1
23.0,686.0,160.0,522.0,1
446.0,276.0,297.0,688.0,0
498.0,250.0,491.0,536.0,1
952.0,345.0,44.0,636.0,0
735.0,211.0,217.0,345.0,1
548.0,285.0,596.0,238.0,0
155.0,448.0,585.0,622.0,0
785.0,192.0,56.0,962.0,0
903.0,296.0,87.0,756.0,0
934.0,141.0,172.0,65.0,0
246.0,618.0,592.0,10.0,0
115.0,122.0,416.0,301.0,1
486.0,641.0,743.0,753.0,0
153.0,41.0,949.0,366.0,0
692.0,596.0,52.0,595.0,1
299.0,874.0,520.0,874.0,1
131.0,714.0,121.0,353.0,0
21.0,384.0,972.0,226.0,0
303.0,711.0,364.0,155.0,0
781.0,312.0,410.0,890.0,0
756.0,801.0,515.0,744.0,0
12.0,414.0,31.0,510.0,0
504.0,233.0,225.0,51.0,0
900.0,970.0,724.0,709.0,0
877.0,890.0,449.0,269.0,0
284.0,105.0,173.0,5.0,0
959.0,126.0,519.0,85.0,1
625.0,699.0,715.0,39.0,0
778.0,350.0,755.0,944.0,0
644.0,279.0,182.0,933.0,1
274.0,324.0,68.0,51.0,0
502.0,849.0,254.0,579.0,0
346.0,10.0,330.0,619.0,0
789.0,872.0,180.0,388.0,1
517.0,629.0,824.0,664.0,0
579.0,506.0,263.0,103.0,0
224.0,655.0,385.0,309.0,0
696.0,803.0,403.0,156.0,0
573.0,450.0,5.0,73.0,1
440.0,772.0,315.0,268.0,0
721.0,359.0,237.0,336.0,0
175.0,110.0,226.0,460.0,1
568.0,580.0,616.0,920.0,0
691.0,349.0,271.0,861.0,0
656.0,949.0,488.0,904.0,0
351.0,195.0,145.0,461.0,0
806.0,400.0,311.0,581.0,0
903.0,768.0,94.0,15.0,0
357.0,863.0,392.0,976.0,0
264.0,803.0,510.0,476.0,1
172.0,259.0,594.0,310.0,0
677.0,20.0,186.0,896.0,1
665.0,157.0,602.0,668.0,0
169.0,702.0,936.0,103.0,0
948.0,877.0,76.0,457.0,0
608.0,338.0,78.0,75.0,0
238.0,801.0,36.0,27.0,0
248.0,441.0,481.0,91.0,0
751.0,361.0,36.0,704.0,0
948.0,120.0,228.0,59.0,1
944.0,208.0,448.0,36.0,0
787.0,607.0,588.0,736.0,0
179.0,119.0,278.0,746.0,0
794.0,425.0,657.0,616.0,0
870.0,290.0,934.0,866.0,0
480.0,931.0,707.0,287.0,0
467.0,71.0,656.0,516.0,0
944.0,583.0,591.0,723.0,0
155.0,27.0,235.0,195.0,0
886.0,355.0,704.0,84.0,0
808.0,542.0,582.0,350.0,0
830.0,30.0,831.0,824.0,0
167.0,741.0,229.0,195.0,0
248.0,4.0,648.0,252.0,1
992.0,596.0,468.0,964.0,1
408.0,346.0,551.0,941.0,0
560.0,673.0,682.0,798.0,0
578.0,996.0,509.0,929.0,0
918.0,61.0,414.0,240.0,0
868.0,876.0,716.0,12.0,0
923.0,948.0,959.0,355.0,0
368.0,725.0,936.0,985.0,0
754.0,827.0,201.0,686.0,1
986.0,332.0,55.0,21.0,0
678.0,981.0,53.0,846.0,0
157.0,236.0,359.0,292.0,1
361.0,838.0,518.0,214.0,0
539.0,77.0,671.0,766.0,0
147.0,742.0,847.0,716.0,0
745.0,502.0,706.0,938.0,0
200.0,201.0,313.0,920.0,0
61.0,566.0,75.0,803.0,0
85.0,536.0,435.0,631.0,0
211.0,140.0,697.0,121.0,0
860.0,900.0,455.0,794.0,1
4.0,505.0,203.0,133.0,0
473.0,271.0,563.0,642.0,0
786.0,174.0,243.0,33.0,0
979.0,728.0,743.0,669.0,1
418.0,153.0,904.0,227.0,0
758.0,689.0,506.0,169.0,0
658.0,346.0,934.0,110.0,0
718.0,674.0,141.0,733.0,1
581.0,147.0,74.0,348.0,0
200.0,492.0,918.0,256.0,0
917.0,493.0,897.0,454.0,0
956.0,403.0,821.0,668.0,0
896.0,679.0,974.0,361.0,0
246.0,315.0,801.0,14.0,0
188.0,385.0,756.0,120.0,0
242.0,146.0,26.0,676.0,1
603.0,265.0,517.0,730.0,0
946.0,790.0,69.0,915.0,0
65.0,398.0,17.0,954.0,0
777.0,673.0,406.0,113.0,0
709.0,214.0,239.0,56.0,0
970.0,159.0,41.0,675.0,0
161.0,856.0,113.0,244.0,0
97.0,637.0,182.0,685.0,0
847.0,110.0,92.0,836.0,0
303.0,484.0,707.0,699.0,0
994.0,113.0,430.0,316.0,0
704.0,255.0,518.0,560.0,1
890.0,938.0,586.0,154.0,0
846.0,61.0,468.0,4.0,0
827.0,120.0,605.0,438.0,0
101.0,931.0,418.0,679.0,1
426.0,428.0,833.0,493.0,0
527.0,116.0,112.0,713.0,0
38.0,934.0,577.0,26.0,1
62.0,628.0,812.0,135.0,0
768.0,628.0,705.0,64.0,1
971.0,460.0,250.0,305.0,0
786.0,59.0,35.0,19.0,0
404.0,191.0,468.0,700.0,0
784.0,120.0,907.0,146.0,0
483.0,867.0,23.0,860.0,0
805.0,302.0,136.0,389.0,0
91.0,751.0,100.0,898.0,0
721.0,211.0,635.0,331.0,0
557.0,309.0,109.0,419.0,0
511.0,960.0,182.0,150.0,0
630.0,599.0,663.0,117.0,0
374.0,964.0,127.0,18.0,0
281.0,74.0,250.0,735.0,1
629.0,197.0,134.0,199.0,1
971.0,495.0,618.0,447.0,0
321.0,729.0,473.0,201.0,0
150.0,916.0,270.0,542.0,0
21.0,436.0,929.0,536.0,0
529.0,424.0,78.0,582.0,0
162.0,707.0,521.0,467.0,0
691.0,810.0,780.0,198.0,0
712.0,96.0,109.0,937.0,0
727.0,352.0,459.0,693.0,0
229.0,922.0,973.0,477.0,0
838.0,507.0,899.0,106.0,0
396.0,82.0,716.0,602.0,0
428.0,29.0,293.0,254.0,0
485.0,219.0,933.0,873.0,0
900.0,146.0,73.0,771.0,0
28.0,156.0,548.0,945.0,1
476.0,688.0,929.0,711.0,1
490.0,593.0,198.0,373.0,0
671.0,535.0,443.0,609.0,0
978.0,790.0,130.0,733.0,1
378.0,702.0,174.0,101.0,1
928.0,298.0,138.0,993.0,0
603.0,792.0,9.0,405.0,0
455.0,196.0,416.0,637.0,1
70.0,594.0,459.0,281.0,1
276.0,98.0,232.0,990.0,1
78.0,182.0,353.0,369.0,0
662.0,772.0,727.0,138.0,0
230.0,407.0,643.0,439.0,0
534.0,399.0,854.0,420.0,0
952.0,67.0,658.0,995.0,1
739.0,621.0,590.0,860.0,1
266.0,736.0,450.0,926.0,1
76.0,909.0,907.0,404.0,0
963.0,266.0,798.0,130.0,0
585.0,104.0,874.0,179.0,0
925.0,584.0,555.0,711.0,0
273.0,760.0,893.0,386.0,0
481.0,497.0,4.0,343.0,0
390.0,42.0,804.0,491.0,0
299.0,277.0,806.0,194.0,0
315.0,732.0,658.0,690.0,1
847.0,71.0,661.0,277.0,0
871.0,451.0,260.0,748.0,1
932.0,675.0,715.0,700.0,0
64.0,164.0,916.0,779.0,0
75.0,698.0,899.0,110.0,0
320.0,399.0,601.0,14.0,0
706.0,15.0,497.0,127.0,0
932.0,884.0,252.0,131.0,0
901.0,823.0,92.0,488.0,1
759.0,468.0,591.0,530.0,0
595.0,721.0,953.0,502.0,0
290.0,46.0,819.0,616.0,0
101.0,939.0,850.0,701.0,1
630.0,780.0,968.0,414.0,0
981.0,765.0,445.0,648.0,0
994.0,446.0,911.0,196.0,0
810.0,972.0,434.0,754.0,0
538.0,960.0,5.0,112.0,1
863.0,435.0,948.0,115.0,0
152.0,133.0,589.0,867.0,0
104.0,857.0,200.0,762.0,0
50.0,683.0,297.0,808.0,0
298.0,556.0,367.0,58.0,0
954.0,315.0,113.0,138.0,0
419.0,89.0,502.0,36.0,0
738.0,589.0,733.0,16.0,0
456.0,992.0,110.0,264.0,1
993.0,46.0,568.0,12.0,0
476.0,364.0,269.0,783.0,0
920.0,103.0,130.0,235.0,0
261.0,787.0,595.0,554.0,0
880.0,52.0,240.0,151.0,0
820.0,324.0,617.0,218.0,0
343.0,254.0,370.0,302.0,0
247.0,643.0,796.0,339.0,0
23.0,90.0,162.0,182.0,0
204.0,131.0,669.0,27.0,0
666.0,272.0,933.0,731.0,1
5.0,886.0,980.0,803.0,0
492.0,434.0,994.0,65.0,0
859.0,289.0,451.0,183.0,0
829.0,386.0,649.0,227.0,0
875.0,461.0,430.0,346.0,1
566.0,24.0,231.0,881.0,0
767.0,710.0,975.0,743.0,1
403.0,541.0,825.0,452.0,0
818.0,667.0,445.0,972.0,0
28.0,98.0,733.0,469.0,0
226.0,995.0,197.0,685.0,0
540.0,273.0,920.0,717.0,1
852.0,951.0,37.0,280.0,0
567.0,361.0,621.0,152.0,0
117.0,140.0,21.0,377.0,1
425.0,294.0,110.0,198.0,0
181.0,308.0,126.0,875.0,0
23.0,443.0,910.0,597.0,0
718.0,851.0,951.0,839.0,0
649.0,823.0,626.0,550.0,0
771.0,527.0,555.0,152.0,0
285.0,333.0,697.0,8.0,1
658.0,460.0,220.0,771.0,0
947.0,238.0,616.0,314.0,0
848.0,571.0,624.0,425.0,0
742.0,517.0,608.0,619.0,0
479.0,751.0,935.0,561.0,1
871.0,766.0,355.0,792.0,0
902.0,936.0,603.0,584.0,1
112.0,782.0,179.0,27.0,0
415.0,185.0,370.0,125.0,0
146.0,422.0,429.0,168.0,0
96.0,28.0,267.0,305.0,0
642.0,985.0,498.0,759.0,1
915.0,221.0,877.0,42.0,0
555.0,481.0,547.0,93.0,0
420.0,256.0,974.0,367.0,1
785.0,534.0,68.0,525.0,0
76.0,913.0,35.0,10.0,0
261.0,172.0,328.0,973.0,0
642.0,131.0,949.0,139.0,1
833.0,520.0,787.0,478.0,0
89.0,446.0,44.0,430.0,0
56.0,149.0,639.0,943.0,0
359.0,472.0,27.0,832.0,0
700.0,604.0,976.0,887.0,0
327.0,770.0,655.0,437.0,0
741.0,719.0,966.0,714.0,0
935.0,517.0,404.0,639.0,0
25.0,979.0,201.0,940.0,0
452.0,312.0,673.0,100.0,0
698.0,943.0,552.0,407.0,0
245.0,279.0,539.0,947.0,1
827.0,673.0,245.0,182.0,0
281.0,667.0,673.0,977.0,0
157.0,55.0,338.0,619.0,1
912.0,307.0,771.0,47.0,1
7.0,378.0,609.0,284.0,0
710.0,124.0,137.0,746.0,1
931.0,574.0,916.0,743.0,0
53.0,513.0,625.0,144.0,1
791.0,646.0,306.0,859.0,0
987.0,334.0,414.0,647.0,0
9.0,984.0,566.0,25.0,0
682.0,840.0,68.0,585.0,1
796.0,327.0,833.0,865.0,1
114.0,411.0,500.0,428.0,0
314.0,430.0,332.0,933.0,0
130.0,29.0,433.0,27.0,1
534.0,691.0,633.0,405.0,0
256.0,558.0,178.0,662.0,0
341.0,658.0,502.0,300.0,0
876.0,324.0,454.0,858.0,0
832.0,999.0,151.0,195.0,0
253.0,615.0,665.0,358.0,0
98.0,697.0,66.0,703.0,0
362.0,579.0,347.0,413.0,1
563.0,180.0,7.0,402.0,0
467.0,829.0,797.0,357.0,0
685.0,188.0,997.0,586.0,0
767.0,859.0,722.0,514.0,0
254.0,852.0,874.0,992.0,0
205.0,651.0,46.0,277.0,1
323.0,875.0,910.0,977.0,0
640.0,363.0,855.0,495.0,0
133.0,377.0,928.0,453.0,1
90.0,514.0,930.0,189.0,0
313.0,306.0,200.0,543.0,0
289.0,520.0,48.0,411.0,0
870.0,818.0,238.0,983.0,0
469.0,222.0,194.0,498.0,0
88.0,282.0,951.0,682.0,0
614.0,389.0,121.0,847.0,0
461.0,104.0,346.0,86.0,0
92.0,180.0,857.0,932.0,0
404.0,178.0,93.0,533.0,0
310.0,894.0,474.0,277.0,1
761.0,137.0,830.0,591.0,1
515.0,785.0,529.0,509.0,0
189.0,933.0,35.0,151.0,1
352.0,188.0,3.0,630.0,0
91.0,868.0,997.0,612.0,0
862.0,606.0,244.0,734.0,0
696.0,42.0,932.0,77.0,1
555.0,514.0,420.0,636.0,1
70.0,275.0,890.0,250.0,1
649.0,95.0,2.0,857.0,0
515.0,330.0,4.0,418.0,0
468.0,371.0,693.0,662.0,0
482.0,860.0,77.0,420.0,0
5.0,298.0,555.0,594.0,0
598.0,819.0,791.0,283.0,1
680.0,327.0,388.0,892.0,0
299.0,562.0,150.0,669.0,0
667.0,653.0,880.0,99.0,1
601.0,840.0,980.0,535.0,0
819.0,932.0,308.0,469.0,0
365.0,769.0,173.0,926.0,1
64.0,858.0,538.0,349.0,0
481.0,930.0,192.0,888.0,0
444.0,153.0,841.0,108.0,0
664.0,517.0,888.0,986.0,0
549.0,781.0,634.0,673.0,1
472.0,807.0,801.0,114.0,0
820.0,629.0,366.0,170.0,0
508.0,461.0,194.0,774.0,1
541.0,682.0,116.0,303.0,1
879.0,232.0,513.0,699.0,0
909.0,101.0,748.0,669.0,0
752.0,49.0,822.0,549.0,0
460.0,161.0,893.0,154.0,1
330.0,795.0,499.0,101.0,0
939.0,457.0,127.0,290.0,0
955.0,88.0,733.0,572.0,0
894.0,371.0,901.0,451.0,1
644.0,386.0,232.0,277.0,1
194.0,710.0,385.0,608.0,0
216.0,261.0,400.0,768.0,0
474.0,699.0,792.0,42.0,0
875.0,342.0,239.0,836.0,1
300.0,683.0,66.0,660.0,1
506.0,769.0,81.0,2.0,0
474.0,541.0,735.0,54.0,0
743.0,35.0,581.0,846.0,0
473.0,381.0,72.0,371.0,0
878.0,490.0,575.0,868.0,0
595.0,376.0,913.0,413.0,0
81.0,211.0,344.0,178.0,0
194.0,259.0,848.0,517.0,1
192.0,372.0,593.0,970.0,1
101.0,127.0,598.0,970.0,0
26.0,403.0,163.0,742.0,0
613.0,932.0,327.0,653.0,1
640.0,876.0,865.0,472.0,0
573.0,99.0,421.0,291.0,1
111.0,64.0,333.0,21.0,1
536.0,998.0,476.0,251.0,0
818.0,920.0,678.0,343.0,1
159.0,144.0,236.0,38.0,1
296.0,313.0,57.0,397.0,0
970.0,654.0,403.0,716.0,0
894.0,653.0,50.0,472.0,0
821.0,482.0,467.0,575.0,1
957.0,392.0,993.0,818.0,0
853.0,274.0,484.0,440.0,0
512.0,604.0,955.0,870.0,0
230.0,857.0,304.0,868.0,0
939.0,590.0,294.0,162.0,1
483.0,611.0,834.0,665.0,0
432.0,214.0,20.0,21.0,0
609.0,264.0,314.0,960.0,0
606.0,172.0,911.0,198.0,0
340.0,706.0,65.0,63.0,0
799.0,603.0,320.0,933.0,0
422.0,873.0,313.0,416.0,1
446.0,902.0,477.0,701.0,0
56.0,124.0,472.0,326.0,1
696.0,281.0,707.0,890.0,0
222.0,877.0,893.0,228.0,0
730.0,332.0,555.0,662.0,0
634.0,76.0,817.0,735.0,0
520.0,749.0,529.0,131.0,0
938.0,445.0,437.0,407.0,0
472.0,334.0,146.0,425.0,0
212.0,978.0,457.0,776.0,1
952.0,476.0,556.0,143.0,0
988.0,473.0,66.0,57.0,0
307.0,270.0,89.0,359.0,0
146.0,537.0,488.0,862.0,0
588.0,793.0,808.0,227.0,1
924.0,16.0,610.0,88.0,0
553.0,142.0,368.0,896.0,0
230.0,992.0,733.0,175.0,0
191.0,26.0,386.0,340.0,0
715.0,229.0,154.0,413.0,0
691.0,156.0,912.0,580.0,1
574.0,762.0,761.0,713.0,0
610.0,179.0,944.0,503.0,0
271.0,174.0,641.0,671.0,0
607.0,317.0,693.0,237.0,0
337.0,893.0,778.0,973.0,0
818.0,576.0,76.0,578.0,0
436.0,520.0,560.0,58.0,0
603.0,533.0,142.0,392.0,0
730.0,172.0,575.0,524.0,1
712.0,885.0,761.0,665.0,0
364.0,47.0,620.0,628.0,0
545.0,528.0,476.0,502.0,0
711.0,492.0,629.0,870.0,0
55.0,444.0,553.0,449.0,0
81.0,45.0,5.0,659.0,0
782.0,651.0,161.0,918.0,0
273.0,0.0,354.0,317.0,0
407.0,17.0,223.0,240.0,0
204.0,315.0,807.0,313.0,0
749.0,936.0,384.0,635.0,0
145.0,754.0,471.0,420.0,0
975.0,69.0,555.0,86.0,0
528.0,351.0,300.0,239.0,0
854.0,861.0,128.0,132.0,0
127.0,55.0,408.0,350.0,0
625.0,460.0,149.0,645.0,0
43.0,424.0,765.0,902.0,0
887.0,924.0,880.0,74.0,0
739.0,906.0,604.0,78.0,0
298.0,940.0,586.0,965.0,0
367.0,997.0,117.0,565.0,0
259.0,301.0,934.0,857.0,0
865.0,987.0,227.0,251.0,1
789.0,106.0,235.0,759.0,1
184.0,508.0,755.0,279.0,1
144.0,203.0,666.0,693.0,0
224.0,68.0,356.0,724.0,0
127.0,110.0,429.0,451.0,0
465.0,845.0,757.0,678.0,0
79.0,189.0,951.0,221.0,1
26.0,703.0,556.0,509.0,1
101.0,549.0,556.0,748.0,1
715.0,100.0,22.0,785.0,1
436.0,46.0,254.0,173.0,0
398.0,366.0,141.0,948.0,1
722.0,289.0,559.0,0.0,0
491.0,783.0,725.0,19.0,1
513.0,450.0,543.0,134.0,1
803.0,945.0,864.0,290.0,0
796.0,282.0,893.0,550.0,1
275.0,290.0,325.0,93.0,0
703.0,737.0,79.0,213.0,1
296.0,139.0,925.0,422.0,0
42.0,806.0,784.0,453.0,0
219.0,152.0,923.0,509.0,1
921.0,173.0,190.0,375.0,1
816.0,79.0,658.0,374.0,1
53.0,829.0,779.0,956.0,0
859.0,865.0,600.0,807.0,0
978.0,547.0,723.0,374.0,0
100.0,588.0,522.0,764.0,1
163.0,984.0,137.0,316.0,0
162.0,477.0,35.0,655.0,0
959.0,942.0,144.0,427.0,0
320.0,78.0,576.0,260.0,0
189.0,764.0,978.0,45.0,0
432.0,469.0,581.0,60.0,0
308.0,662.0,764.0,264.0,0
232.0,107.0,38.0,42.0,0
815.0,390.0,414.0,368.0,1
935.0,962.0,526.0,523.0,0
731.0,52.0,713.0,79.0,0
122.0,628.0,229.0,698.0,0
583.0,748.0,831.0,142.0,0
126.0,92.0,863.0,34.0,0
957.0,953.0,973.0,422.0,0
13.0,189.0,142.0,108.0,1
814.0,646.0,293.0,272.0,0
237.0,697.0,574.0,794.0,0
855.0,628.0,831.0,253.0,0
799.0,993.0,36.0,466.0,0
220.0,276.0,951.0,817.0,1
876.0,302.0,218.0,236.0,0
492.0,96.0,203.0,287.0,0
183.0,569.0,927.0,641.0,0
79.0,166.0,443.0,363.0,0
838.0,649.0,983.0,738.0,0
633.0,910.0,148.0,724.0,0
89.0,521.0,557.0,776.0,0
780.0,207.0,612.0,971.0,1
978.0,859.0,157.0,272.0,0
571.0,257.0,956.0,134.0,0
460.0,584.0,812.0,118.0,1
370.0,806.0,267.0,922.0,0
612.0,183.0,695.0,192.0,0
873.0,222.0,227.0,79.0,0
760.0,348.0,587.0,430.0,0
947.0,513.0,830.0,490.0,0
299.0,542.0,185.0,631.0,0
281.0,822.0,686.0,60.0,0
65.0,985.0,372.0,201.0,0
756.0,439.0,958.0,186.0,1
587.0,367.0,153.0,590.0,0
918.0,131.0,805.0,198.0,0
511.0,615.0,60.0,843.0,0
